"area","tanggal_kejadian","tahun","bulan","quarter","idkejadian","kodebpsprop","provinsi","kodebpskab","kabupaten","kodebpskec1","kecamatan1","kodebpskec2","kecamatan2","desa1","desa2","desa3","actor_s1_tp","actor_s1_tp_o","actor_s1_tot","actor_s2_tp","actor_s2_tp_o","actor_s2_tot","int1","int2","int1_res","int2_res","int1_o","int2_o","int1_res_o","int2_res_o","kil_total","kil_f","inj_total","inj_f","kidnap_tot","kid_f","sex_as_tot","sex_f","build_dmg_total","bdg_des","oth_impact","weapon_1","weapon_2","weapon_oth","jenis_kek","isu_indv","tp_kek1_new","tp_kek1_o","ben_kek1","ben_kek1_o","ben_kek2","ben_kek2_o","meta_tp_kek1_new","insd_desc","create","last_update","full_coverage","s1","s2","s3","s4","s5","s6","s7","s8","weapon","wpnfarm","wpnfarmman","wpnfarmhmde","wpnexpl","wpnshrp","wpnblunt","wpnfire","intervention","intvnrsecforfrml","intvnrtni","intvnrpol","intvnrbrimob","intvnrcvln","intvntnressucces","intvntnviolup","actcountrelormas","actcountparpol","actcountseprtst","actcountgov","actcountstudents","secvssec","onewayformconf","twowayformconf","death1","death3","death5","death10","largeinc","evperiod","pevperiod","preevperiod","ev2period","pev2period"
"ACEH","01/07/1999",1999,7,3,"11F469",11,"Nanggro Aceh Darussalam",1117,"BENER MERIAH",1117010,"TIMANG GAJAH",0,"TIDAK ADA",,,,14,,60,17,,0,0,0,0,0,,,,,0,0,8,0,0,0,0,0,0,0,"-",5,2,"gagang cangkul",1,0,9903,,12,,0,,88889,"1/7/1999. Aparat yang mengendarai 2 truk dan 1 unit minibus memukul beberapa warga singa mulo dan ranga-ranga kec. Timang Gajah ketika sedang mencari AGAM. Di antaranya, Zulkarnain (24), pedagang obat dipukul dengan gagang senjata siap kokang d","28/03/2010","28/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","01/07/1999",1999,7,3,"11F470",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105120,"RANTO PEUREULAK",0,"TIDAK ADA",,,,14,,0,9,,2,0,0,0,0,,,,,0,0,0,0,2,0,0,0,0,0,"-",0,0,,1,0,9903,,13,,0,,88889,"1/7/1999. Sekelompok orang bersenjata loreng menculik 2 karyawan PT Nusantara - 1 Karang Inong, Ranto Peureulak, Aceh Timur di kebun Karang Inong.","28/03/2010","28/03/2010",1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/07/1999",1999,7,3,"11F471",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105180,"SIMPANG ULIM",0,"TIDAK ADA","lhok nibong",,,1,,2,1,,2,0,0,0,0,,,,,0,0,2,0,0,0,0,0,0,0,"-",5,0,,2,0,7703,,14,,0,,88887,"2/7/1999. Dua pemuda mahasiswa gadungan menembak 2 warga dengan pistol di Lhok Nibong, Kec. Simpang Ulim, Aceh Timur serta merampas 7 motor milik warga setempat. Korban adalah seorang warga Desa Paya Deuman luka tembak di lengan dan seorang war","28/03/2010","28/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/07/1999",1999,7,3,"11F472",11,"Nanggro Aceh Darussalam",1111,"ACEH UTARA",1111080,"TANAH JAMBO AYE",0,"TIDAK ADA",,,,18,,0,5,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"-",0,0,,2,0,7703,,10,,0,,88887,"2/7/1999. Sekelompok remaja berseragam SMP mengobrak-abrik dan merusak dokumen di kantor camat Tanah Jambo Aye, Aceh Utara hingga ribuan lembar blangko pemungutan pendapatan daerah bertebaran sampai ke pekarangan dan jalan depan kantor.","28/03/2010","28/03/2010",1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/07/1999",1999,7,3,"11F473",11,"Nanggro Aceh Darussalam",1110,"BIREUEN",1110100,"GANDA PURA",0,"TIDAK ADA",,,,1,,0,14,,1,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,11,,0,,88889,"12/7/1999. Seorang anggota TNI, Serda M. Sufi ditemukan tewas Geureugok, Kec. Gandapura, Bireuen dengan kondisi bersimbah darah tepatnya di pangkalan jembatan lintasan Medan-Banda Aceh. Penyebabnya diduga karena tembakan.","28/03/2010","28/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"ACEH","02/07/1999",1999,7,3,"11F474",11,"Nanggro Aceh Darussalam",1111,"ACEH UTARA",1111030,"KUTA MAKMUR",0,"TIDAK ADA",,,,2,"aparat",0,9,,1,0,0,0,0,,,,,0,0,1,0,1,0,0,0,0,0,"-",0,0,,1,0,9903,,11,,0,,88889,"2/7/1999. Seorang pedagang warga Nisam ketika sedang dalam perjalanan pulang dari Lhokseumawe ke Buloh Blang Ara di tengah perjalanan dipukuli sekelompok orang bersenjata api yang berseragam militer di jalan menuju Buloh Blang Ara, Kuta Makmur,","28/03/2010","28/03/2010",1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/07/1999",1999,7,3,"11F475",11,"Nanggro Aceh Darussalam",999904,"Tidak ada kabupaten Provinsi Nanggro Aceh Darussalam",0,"TIDAK ADA",0,"TIDAK ADA",,,,1,,0,1,,1,0,0,0,0,,,,,0,0,0,0,1,0,0,0,0,0,"-",0,0,,2,0,7703,,13,,0,,88887,"2/7/1999. Seorang warga di Aceh diculik oleh orang tak dikenal.","28/03/2010","28/03/2010",1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/07/1999",1999,7,3,"11F476",11,"Nanggro Aceh Darussalam",1110,"BIREUEN",1110010,"SAMALANGA",0,"TIDAK ADA","blang tambue",,,1,,0,1,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"bus dan isinya hangus terbakar",5,8,,1,0,9903,,10,,0,,88889,"2/7/1999. Bus Anugerah BL 7391-A dalam perjalanan dari arah Medan menuju Banda Aceh, tiba-tiba distop sekelompok orang bersenjata api, kemudian menyusurh seluruh penumpang dan sopir turun lalu membakar hingga bus dan segala isinya hangus. Insid","28/03/2010","28/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/07/1999",1999,7,3,"11F477",11,"Nanggro Aceh Darussalam",999904,"Tidak ada kabupaten Provinsi Nanggro Aceh Darussalam",0,"TIDAK ADA",0,"TIDAK ADA",,,,1,,0,14,,1,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,11,,0,,88889,"2/7/1999. Anggota Koramil ditembak orang tak dikenal di Aceh.","28/03/2010","28/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/07/1999",1999,7,3,"11F478",11,"Nanggro Aceh Darussalam",999904,"Tidak ada kabupaten Provinsi Nanggro Aceh Darussalam",0,"TIDAK ADA",0,"TIDAK ADA",,,,1,,0,5,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,"-",8,0,,1,0,9903,,10,,0,,88889,"2/7/1999. Kantor camat di Aceh dibakar oleh orang tak dikenal.","28/03/2010","28/03/2010",1,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
