"area","tanggal_kejadian","tahun","bulan","quarter","idkejadian","kodebpsprop","provinsi","kodebpskab","kabupaten","kodebpskec1","kecamatan1","kodebpskec2","kecamatan2","desa1","desa2","desa3","actor_s1_tp","actor_s1_tp_o","actor_s1_tot","actor_s2_tp","actor_s2_tp_o","actor_s2_tot","int1","int2","int1_res","int2_res","int1_o","int2_o","int1_res_o","int2_res_o","kil_total","kil_f","inj_total","inj_f","kidnap_tot","kid_f","sex_as_tot","sex_f","build_dmg_total","bdg_des","oth_impact","weapon_1","weapon_2","weapon_oth","jenis_kek","isu_indv","tp_kek1_new","tp_kek1_o","ben_kek1","ben_kek1_o","ben_kek2","ben_kek2_o","meta_tp_kek1_new","insd_desc","create","last_update","full_coverage","s1","s2","s3","s4","s5","s6","s7","s8","weapon","wpnfarm","wpnfarmman","wpnfarmhmde","wpnexpl","wpnshrp","wpnblunt","wpnfire","intervention","intvnrsecforfrml","intvnrtni","intvnrpol","intvnrbrimob","intvnrcvln","intvntnressucces","intvntnviolup","actcountrelormas","actcountparpol","actcountseprtst","actcountgov","actcountstudents","secvssec","onewayformconf","twowayformconf","death1","death3","death5","death10","largeinc","evperiod","pevperiod","preevperiod","ev2period","pev2period"
"ACEH","02/02/2001",2001,2,1,"11B473",11,"Nanggro Aceh Darussalam",1112,"ACEH BARAT DAYA",1112020,"TANGAN-TANGAN",0,"TIDAK ADA","kuta bak",,,1,,0,1,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,"-",8,0,,2,0,7703,,10,,0,,88887,"rumah milik m yusuf warga desa kuta bak drien dibakar oleh otk hingga menjai abi tak tersisia apapun","25/03/2010","25/03/2010",1,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","03/02/2001",2001,2,1,"11B476",11,"Nanggro Aceh Darussalam",1111,"ACEH UTARA",1111100,"BAKTIYA",0,"TIDAK ADA","matang krueng",,,14,,0,17,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,0,,88889,"didesa matang krueng aparat tni baku tembak dengan kelompok gam tidak ada korban jiwa","25/03/2010","25/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"ACEH","03/02/2001",2001,2,1,"11B477",11,"Nanggro Aceh Darussalam",1110,"BIREUEN",0,"TIDAK ADA",0,"TIDAK ADA",,,,1,,2,9,,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"-",5,0,,2,0,7703,,14,,0,,88887,"mobil sedan corolla milik satiman seorang karyawan pt asean aceh ferizer (AAF) dirampok oleh 2 pemuda","25/03/2010","25/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","03/02/2001",2001,2,1,"11B478",11,"Nanggro Aceh Darussalam",1116,"ACEH JAYA",1116040,"SETIA BAKTI",0,"TIDAK ADA",,,,17,,0,14,,0,0,0,0,0,,,,,1,0,2,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,11,,0,,88889,"kelompok gam menyerang 2 unit mobil yang ditumpangi sejumlah pasukan tni ad dikecamatan setia bakti","25/03/2010","25/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"ACEH","02/02/2001",2001,2,1,"11B480",11,"Nanggro Aceh Darussalam",1111,"ACEH UTARA",1111160,"MUARA BATU",0,"TIDAK ADA","Meunasah Baro",,,17,,0,1,,1,0,0,0,0,,,,,1,0,0,0,1,0,0,0,0,0,"-",5,4,,1,0,9903,,11,,0,,88889,"kelompok gam menculik seorang warga bernama bukhari abdullah setelah diculik 2 hari kemudian korban ditembak hingga tewas","25/03/2010","20/05/2010",1,,,,,,,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"ACEH","05/02/2001",2001,2,1,"11B481",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105130,"IDI RAYEUK",0,"TIDAK ADA",,,,1,,6,5,,1,0,0,0,0,,,,,0,0,1,0,1,0,0,0,0,0,"-",0,0,,2,0,7703,,13,,0,,88887,"seorang mukim kota idi bernama abdul wahab yahya diculik oleh 6 otk setelah sebelumnya korban dipukuli","25/03/2010","25/03/2010",1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","04/02/2001",2001,2,1,"11B482",11,"Nanggro Aceh Darussalam",1108,"ACEH BESAR",1108110,"DARUL IMARAH",0,"TIDAK ADA",,,,1,,0,1,,1,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",2,0,"tali",2,0,7703,,11,,0,,88887,"sesosok mayat lelaku tua ditemukan terapung disungai mun keuemeung lamreng, mayat tersebut bernama muhhan\mad warga desa blang krueng","25/03/2010","25/03/2010",1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"ACEH","05/02/2001",2001,2,1,"11B483",11,"Nanggro Aceh Darussalam",1174,"LHOKSEUMAWE",1174010,"BLANG MANGAT",0,"TIDAK ADA",,,,17,,4,9,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"kaca bus pecah",5,0,,1,0,9903,,10,,11,,88889,"dikawasan keude punteut 2 bus angkutan karyawan perusahaan exxon mol ditembak oleh 4 anggota gam","25/03/2010","25/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","06/02/2001",2001,2,1,"11B484",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105130,"IDI RAYEUK",0,"TIDAK ADA",,,,1,,2,14,,1,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,2,0,7703,,11,,0,,88887,"kapten husaini abdul majid tewas ditembak oleh 2 otk didepan toko nuriza","25/03/2010","26/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"ACEH","07/02/2001",2001,2,1,"11B485",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105130,"IDI RAYEUK",0,"TIDAK ADA",,,,14,,0,9,,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0,0,0,"-",0,0,,1,0,9903,,11,,0,,88889,"aparat tni dalam melakukan penyisiran mencari pelaku penembakan kapten inf husaini, telah menganiaya 2 warga","25/03/2010","25/03/2010",1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
